id,difficulty
0,A1
1,B1
2,B1
3,B1
4,C2
5,C1
6,B1
7,A1
8,B2
9,A1
10,A1
11,A1
12,B2
13,B2
14,A1
15,B1
16,B1
17,A1
18,B1
19,B1
20,C2
21,B1
22,B2
23,C2
24,B1
25,C2
26,B1
27,A1
28,B1
29,A1
30,A1
31,B1
32,A1
33,B1
34,A1
35,B1
36,C1
37,B1
38,A1
39,B1
40,B1
41,C1
42,A1
43,C2
44,C2
45,C1
46,A2
47,C2
48,B1
49,B1
50,C2
51,A1
52,B1
53,A1
54,A1
55,C2
56,B1
57,C2
58,C2
59,B1
60,B2
61,A1
62,C1
63,C2
64,C1
65,B2
66,B1
67,B1
68,B1
69,C2
70,A1
71,B2
72,C2
73,B1
74,B1
75,A1
76,A1
77,C2
78,B1
79,B1
80,A1
81,A1
82,B1
83,B2
84,B1
85,C2
86,B1
87,B1
88,C1
89,B2
90,C2
91,B1
92,C2
93,C2
94,B1
95,B1
96,B2
97,A1
98,C1
99,B2
100,B1
101,C2
102,A1
103,B1
104,B1
105,A1
106,B1
107,B1
108,B1
109,C1
110,C1
111,B1
112,C2
113,C2
114,C2
115,B1
116,C1
117,B1
118,B1
119,C2
120,A1
121,B1
122,B1
123,C2
124,B1
125,C2
126,C2
127,B2
128,C2
129,C1
130,A1
131,A1
132,B1
133,A1
134,C2
135,C2
136,A1
137,C2
138,B1
139,B1
140,A1
141,C2
142,C2
143,C2
144,B2
145,B1
146,A1
147,C2
148,B2
149,B1
150,C2
151,B1
152,A1
153,B1
154,A1
155,C1
156,C2
157,A1
158,A1
159,B1
160,B1
161,A1
162,B1
163,B1
164,C1
165,C2
166,B1
167,B1
168,B1
169,B2
170,B1
171,A2
172,A1
173,B1
174,A1
175,C2
176,B1
177,B1
178,B1
179,C2
180,B1
181,C2
182,B2
183,B1
184,C2
185,B1
186,B1
187,B1
188,C2
189,C2
190,A1
191,C2
192,B2
193,C2
194,B2
195,B1
196,C2
197,B1
198,C2
199,B1
200,C2
201,C2
202,B1
203,A1
204,A2
205,A1
206,B1
207,B1
208,B1
209,A1
210,B1
211,A1
212,B1
213,B1
214,C1
215,B1
216,B1
217,C2
218,B1
219,B1
220,B1
221,B2
222,A1
223,C1
224,A1
225,C2
226,A1
227,B1
228,B1
229,B1
230,B1
231,B1
232,B1
233,B1
234,B1
235,C1
236,B2
237,B1
238,C2
239,A1
240,B1
241,B1
242,A1
243,A1
244,B1
245,A1
246,B1
247,B1
248,A1
249,B1
250,B1
251,C2
252,B1
253,C2
254,B1
255,C2
256,B1
257,A1
258,A1
259,C1
260,B1
261,A1
262,A1
263,B1
264,B2
265,C2
266,C1
267,B1
268,C2
269,C2
270,A1
271,B1
272,B1
273,C1
274,B1
275,A2
276,C1
277,B1
278,A2
279,B1
280,A1
281,C2
282,C2
283,B1
284,B1
285,B1
286,B2
287,C2
288,C2
289,C2
290,B1
291,C1
292,B1
293,B1
294,C2
295,C2
296,C2
297,C1
298,B1
299,A1
300,A1
301,B1
302,C2
303,A1
304,C1
305,A1
306,B1
307,C2
308,C2
309,B1
310,C1
311,B1
312,C2
313,B2
314,C2
315,C1
316,B1
