id,difficulty
0,C2
1,A2
2,B1
3,A2
4,C2
5,C2
6,A1
7,A2
8,C2
9,A2
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,A1
18,A2
19,A1
20,C2
21,C1
22,B2
23,C1
24,B1
25,C2
26,A1
27,A1
28,C2
29,B1
30,A2
31,A2
32,A2
33,A2
34,A2
35,A2
36,B2
37,B1
38,A1
39,A1
40,A2
41,C1
42,B2
43,C1
44,C1
45,B2
46,B2
47,C2
48,A1
49,A2
50,C2
51,A1
52,B2
53,A1
54,A1
55,B2
56,B2
57,B2
58,B2
59,A2
60,B2
61,A2
62,C1
63,B2
64,C1
65,B2
66,B2
67,A2
68,B2
69,C2
70,A1
71,B2
72,B2
73,A2
74,B2
75,A2
76,C1
77,B2
78,A2
79,B2
80,A2
81,A1
82,B1
83,B1
84,A1
85,C1
86,B1
87,B2
88,B2
89,B1
90,C2
91,A2
92,B2
93,C2
94,A2
95,B1
96,A2
97,A2
98,B1
99,C2
100,B2
101,B2
102,A1
103,A2
104,C2
105,C2
106,A2
107,A2
108,A2
109,C1
110,B2
111,A1
112,C2
113,B2
114,B2
115,B1
116,B2
117,A2
118,A2
119,B2
120,A1
121,B2
122,B1
123,C1
124,A1
125,C1
126,C1
127,C1
128,C1
129,B2
130,A1
131,A2
132,B2
133,B1
134,B2
135,C1
136,A2
137,C2
138,A2
139,B1
140,A1
141,C1
142,C1
143,C2
144,B2
145,C1
146,A1
147,C2
148,C2
149,B1
150,B2
151,A2
152,A1
153,A2
154,A1
155,C2
156,C1
157,A1
158,A2
159,A2
160,A2
161,A1
162,B1
163,B2
164,C2
165,C1
166,A1
167,B2
168,B2
169,B2
170,B2
171,B1
172,A1
173,A2
174,A2
175,C1
176,C1
177,B2
178,B1
179,C2
180,A1
181,C2
182,B2
183,B1
184,B2
185,A2
186,A2
187,B1
188,C1
189,C2
190,A1
191,B2
192,B2
193,B1
194,B2
195,A1
196,C1
197,B1
198,C1
199,B1
200,B2
201,B2
202,A1
203,A1
204,C2
205,A2
206,A2
207,A2
208,A2
209,A1
210,A2
211,A1
212,A2
213,B2
214,B2
215,B2
216,B1
217,C1
218,A2
219,B1
220,B2
221,B2
222,A1
223,B2
224,A1
225,C1
226,A2
227,A2
228,A2
229,A1
230,B2
231,B2
232,C2
233,A2
234,B1
235,B2
236,C2
237,A2
238,C1
239,C2
240,B1
241,A2
242,A1
243,A2
244,B2
245,A1
246,B1
247,B1
248,A2
249,B1
250,B1
251,B2
252,A1
253,C1
254,B2
255,C2
256,A2
257,A1
258,A1
259,C2
260,A1
261,A1
262,A1
263,B1
264,B2
265,B2
266,B1
267,B1
268,C1
269,C2
270,A1
271,B1
272,B1
273,C1
274,A2
275,B2
276,B2
277,C2
278,C2
279,B2
280,A1
281,C1
282,C1
283,A2
284,A2
285,B2
286,C1
287,C2
288,C2
289,C2
290,C1
291,B1
292,A2
293,B1
294,C2
295,C2
296,C1
297,B2
298,B1
299,A1
300,A1
301,A1
302,B2
303,A1
304,B1
305,A1
306,A1
307,B2
308,C1
309,A2
310,C2
311,B2
312,C1
313,C2
314,C2
315,C2
316,A1
317,C2
318,A2
319,A1
320,C2
321,B1
322,C1
323,C2
324,A1
325,A1
326,C2
327,B2
328,A1
329,C2
330,C1
331,A2
332,A1
333,B1
334,A2
335,B1
336,A1
337,A1
338,C1
339,B2
340,B2
341,A1
342,B2
343,B2
344,C1
345,A1
346,A1
347,C1
348,A2
349,B1
350,B2
351,B1
352,B2
353,C1
354,B2
355,C2
356,A2
357,B1
358,B2
359,C2
360,A2
361,C2
362,B2
363,B1
364,B2
365,C2
366,A2
367,B2
368,A2
369,B2
370,B2
371,A2
372,C2
373,A1
374,C2
375,A2
376,A1
377,B1
378,A2
379,B1
380,A2
381,A2
382,B2
383,A2
384,C1
385,B2
386,C1
387,A1
388,C2
389,A2
390,C2
391,A2
392,A1
393,C2
394,C2
395,B2
396,A2
397,B1
398,B1
399,A1
400,B2
401,A1
402,A1
403,B2
404,A2
405,C2
406,B1
407,A1
408,A1
409,C1
410,B2
411,B2
412,C2
413,C2
414,B2
415,C1
416,C2
417,C1
418,A2
419,A2
420,A1
421,C1
422,B2
423,A1
424,A2
425,B2
426,A2
427,B2
428,B1
429,A2
430,A1
431,A1
432,B2
433,B2
434,A1
435,A1
436,C1
437,C2
438,A1
439,A1
440,C1
441,A2
442,B2
443,B2
444,A2
445,A2
446,B1
447,A1
448,C2
449,A2
450,C1
451,A1
452,A1
453,A2
