id,difficulty
0,C2
1,B1
2,B2
3,B1
4,C2
5,C1
6,A1
7,A2
8,C2
9,A2
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,A1
18,B1
19,A1
20,C2
21,C1
22,B2
23,B2
24,B1
25,C2
26,A1
27,A1
28,C2
29,B2
30,A2
31,B1
32,A1
33,A2
34,B1
35,A2
36,B2
37,B1
38,A1
39,A1
40,A2
41,C1
42,C2
43,B2
44,C1
45,C1
46,B2
47,C2
48,A1
49,A1
50,C1
51,A1
52,B2
53,A1
54,A1
55,B2
56,B2
57,B2
58,B2
59,A2
60,B2
61,A1
62,C1
63,C1
64,C1
65,B2
66,B2
67,B1
68,B2
69,C2
70,A1
71,B2
72,B2
73,B2
74,B2
75,A2
76,C1
77,C1
78,B1
79,C1
80,A2
81,A1
82,B2
83,B1
84,A1
85,C1
86,B2
87,B2
88,B2
89,B2
90,C1
91,A2
92,C2
93,C2
94,B1
95,B1
96,B1
97,A1
98,B1
99,C2
100,B2
101,B2
102,B1
103,A1
104,C2
105,C2
106,B2
107,A2
108,B1
109,C1
110,B2
111,B1
112,C2
113,C1
114,C1
115,B2
116,B2
117,A2
118,A2
119,B2
120,A1
121,B2
122,B2
123,C1
124,A1
125,C1
126,C1
127,B2
128,C1
129,B2
130,A1
131,A2
132,C1
133,C2
134,B2
135,C2
136,A2
137,C1
138,A2
139,B1
140,A1
141,C1
142,C2
143,C2
144,C1
145,B2
146,A1
147,C2
148,C1
149,B1
150,B2
151,B2
152,A1
153,B1
154,A1
155,C2
156,C1
157,A1
158,A2
159,A2
160,A1
161,A1
162,B1
163,B2
164,C1
165,C1
166,A1
167,B2
168,B2
169,B2
170,C1
171,B1
172,A1
173,B1
174,A1
175,C1
176,C1
177,B2
178,B1
179,C2
180,A1
181,B2
182,B2
183,B1
184,B2
185,B1
186,A2
187,B1
188,C1
189,C2
190,A1
191,B2
192,B2
193,B1
194,B2
195,A1
196,C1
197,B2
198,B2
199,B1
200,B2
201,B2
202,A1
203,A1
204,C2
205,A1
206,B1
207,B1
208,A2
209,A1
210,A1
211,A1
212,A1
213,B2
214,B2
215,B2
216,B2
217,C1
218,B1
219,B2
220,B2
221,B2
222,A1
223,B2
224,A1
225,C1
226,A2
227,A2
228,B1
229,A1
230,C1
231,C1
232,C2
233,B1
234,B1
235,B2
236,C1
237,A1
238,C1
239,C1
240,C2
241,A2
242,A1
243,A1
244,B2
245,A1
246,B2
247,B2
248,A2
249,B1
250,B2
251,B2
252,A1
253,C1
254,B2
255,C2
256,B1
257,A1
258,A1
259,C2
260,A1
261,A2
262,A1
263,B1
264,B2
265,C1
266,B2
267,B1
268,B2
269,C1
270,A2
271,C2
272,B2
273,C1
274,A1
275,B2
276,B2
277,C1
278,C2
279,B2
280,A1
281,C1
