id,difficulty
0,A1
1,A2
2,A2
3,A2
4,C2
5,B2
6,A2
7,A1
8,B2
9,A1
10,A1
11,A1
12,B1
13,A1
14,A1
15,A2
16,A1
17,A2
18,A1
19,A1
20,C1
21,A1
22,A2
23,B1
24,A1
25,C2
26,A1
27,A1
28,A1
29,A2
30,A1
31,A2
32,A1
33,A1
34,A1
35,A1
36,B2
37,A1
38,A1
39,A2
40,A2
41,B1
42,A1
43,B2
44,B1
45,B2
46,B2
47,B2
48,A1
49,A2
50,C2
51,A1
52,B1
53,A1
54,A1
55,B1
56,B1
57,B1
58,B2
59,A1
60,A1
61,A1
62,B1
63,B2
64,B1
65,A2
66,A2
67,A1
68,A2
69,B2
70,A1
71,A1
72,A1
73,A2
74,B2
75,A2
76,A1
77,B1
78,A1
79,A2
80,A1
81,A1
82,B2
83,B1
84,A1
85,B2
86,A2
87,A2
88,B2
89,A2
90,C2
91,A2
92,B1
93,B2
94,A2
95,A2
96,A2
97,A1
98,B2
99,B2
100,B1
101,B2
102,A1
103,A1
104,B1
105,B1
106,A1
107,A2
108,A2
109,C1
110,B1
111,A1
112,B2
113,B2
114,B2
115,A2
116,B2
117,A2
118,A2
119,B1
120,A2
121,A2
122,A1
123,B2
124,A1
125,B2
126,B2
127,B2
128,B2
129,B1
130,A2
131,A1
132,A2
133,A1
134,A2
135,C2
136,A1
137,B1
138,A2
139,A1
140,A1
141,C2
142,B2
143,C2
144,A1
145,A1
146,A2
147,B2
148,A2
149,B1
150,B1
151,A1
152,A1
153,A1
154,A1
155,B2
156,B2
157,A1
158,A1
159,A2
160,A2
161,A1
162,A2
163,A2
164,B2
165,B1
166,A1
167,A1
168,B1
169,A2
170,A1
171,A2
172,A1
173,A1
174,A2
175,B2
176,B2
177,B1
178,A2
179,B2
180,A2
181,B2
182,B1
183,A2
184,B1
185,B1
186,A2
187,A2
188,B2
189,C2
190,A1
191,B1
192,A2
193,B1
194,A2
195,A1
196,B2
197,A1
198,B2
199,A2
200,B1
201,A2
202,A1
203,A1
204,A2
205,A1
206,A2
207,A1
208,A1
209,A1
210,A2
211,A1
212,A2
213,B1
214,B1
215,A1
216,A2
217,B1
218,A1
219,B2
220,A1
221,B2
222,A1
223,B2
224,A1
225,B2
226,A2
227,A2
228,A1
229,A2
230,A1
231,B2
232,B2
233,A2
234,A1
235,A2
236,C1
237,A1
238,B2
239,A2
